"","Date","Solar_radiation","Method","Comments","Site"
"451",2013-04-22,206.541666666667,"VantagePro","","SEGC"
"452",2013-04-23,162.666666666667,"VantagePro","","SEGC"
"453",2013-04-24,146.916666666667,"VantagePro","","SEGC"
"454",2013-04-25,236.3125,"VantagePro","","SEGC"
"455",2013-04-26,235.0625,"VantagePro","","SEGC"
"456",2013-04-27,147.708333333333,"VantagePro","","SEGC"
"457",2013-04-28,251.25,"VantagePro","","SEGC"
"458",2013-04-29,216.395833333333,"VantagePro","","SEGC"
"459",2013-04-30,228.479166666667,"VantagePro","","SEGC"
"460",2013-05-01,248.854166666667,"VantagePro","","SEGC"
"461",2013-05-02,237.979166666667,"VantagePro","","SEGC"
