"","X","Date","Temperature_c","Type","Method","Site","Comments"
"22232",11318,"2016-02-10",23.714,"Min","TinyTag","SEGC",""
"22233",11319,"2016-02-11",22.782,"Min","TinyTag","SEGC",""
"22234",11320,"2016-02-12",23.884,"Min","TinyTag","SEGC",""
"22235",113211,"2016-02-13",23.506,"Min","TinyTag","SEGC",""
"22236",11322,"2016-02-14",23.562,"Min","TinyTag","SEGC",""
"22237",11323,"2016-02-15",22.816,"Min","TinyTag","SEGC",""
"22238",11324,"2016-02-16",25.377,"Min","TinyTag","SEGC",""
"22239",11325,"2016-02-17",24.013,"Min","TinyTag","SEGC",""
"22240",11326,"2016-02-18",23.072,"Min","TinyTag","SEGC",""
"22241",11327,"2016-02-19",24.727,"Min","TinyTag","SEGC",""
"22242",11328,"2016-02-20",23.846,"Min","TinyTag","SEGC",""
"22243",11329,"2016-02-21",24.99,"Min","TinyTag","SEGC",""
"22244",11330,"2016-02-22",23.508,"Min","TinyTag","SEGC",""
"22245",113311,"2016-02-23",24.896,"Min","TinyTag","SEGC",""
"22246",11332,"2016-02-24",22.2,"Min","TinyTag","SEGC",""
"22247",11333,"2016-02-25",23.108,"Min","TinyTag","SEGC",""
"22248",11334,"2016-02-26",24.638,"Min","TinyTag","SEGC",""
"22249",11335,"2016-02-27",25.468,"Min","TinyTag","SEGC",""
"22250",11336,"2016-02-28",25.232,"Min","TinyTag","SEGC",""
"22251",11337,"2016-02-29",24.618,"Min","TinyTag","SEGC",""
"22252",11338,"2016-03-01",24.977,"Min","TinyTag","SEGC",""
"22253",11339,"2016-03-02",24.803,"Min","TinyTag","SEGC",""
"22254",11340,"2016-03-03",22.385,"Min","TinyTag","SEGC",""
"22255",113411,"2016-03-04",22.68,"Min","TinyTag","SEGC",""
"22256",11342,"2016-03-05",22.382,"Min","TinyTag","SEGC",""
"22257",11343,"2016-03-06",22.869,"Min","TinyTag","SEGC",""
"22258",11344,"2016-03-07",22.521,"Min","TinyTag","SEGC",""
