DateTime,%leafs,%flowers,%fruits,Days_since_start,Period,Day_of_Period,%leaves_roll2D,%flowers_roll2D,%fruits_roll2D
2024-04-15 10:00:00,75.0,0.0,0.0,312.0,0,312.0,75.0,0.0,0.0
2024-04-16 10:00:00,75.0,0.0,0.0,313.0,0,313.0,75.0,0.0,0.0
2024-04-17 10:00:00,75.0,0.0,0.0,314.0,0,314.0,75.0,0.0,0.0
2024-04-18 10:00:00,75.0,0.0,0.0,315.0,0,315.0,75.0,0.0,0.0
2024-04-19 10:00:00,75.0,0.0,0.0,316.0,0,316.0,75.0,0.0,0.0
2024-04-20 10:00:00,75.0,0.0,0.0,317.0,0,317.0,75.0,0.0,0.0
2024-04-21 10:00:00,75.0,0.0,0.0,318.0,0,318.0,75.0,0.0,0.0
2024-04-22 10:00:00,75.0,0.0,0.0,319.0,0,319.0,75.0,0.0,0.0
2024-04-23 10:00:00,75.0,0.0,0.0,320.0,0,320.0,75.0,0.0,0.0
2024-04-24 10:00:00,75.0,0.0,0.0,321.0,0,321.0,75.0,0.0,0.0
2024-04-25 10:00:00,75.0,0.0,0.0,322.0,0,322.0,75.0,0.0,0.0
2024-04-26 10:00:00,75.0,0.0,0.0,323.0,0,323.0,75.0,0.0,0.0
2024-04-27 10:00:00,75.0,0.0,0.0,324.0,0,324.0,75.0,0.0,0.0
2024-04-28 10:00:00,75.0,0.0,0.0,325.0,0,325.0,75.0,0.0,0.0
2024-04-29 10:00:00,75.0,0.0,0.0,326.0,0,326.0,75.0,0.0,0.0
2024-04-30 10:00:00,75.0,0.0,0.0,327.0,0,327.0,75.0,0.0,0.0
2024-05-01 10:00:00,75.0,0.0,0.0,328.0,0,328.0,75.0,0.0,0.0
2024-05-02 10:00:00,75.0,0.0,0.0,329.0,0,329.0,75.0,0.0,0.0
2024-05-03 10:00:00,75.0,0.0,0.0,330.0,0,330.0,75.0,0.0,0.0
2024-05-04 10:00:00,75.0,0.0,0.0,331.0,0,331.0,75.0,0.0,0.0
2024-05-05 10:00:00,75.0,0.0,0.0,332.0,0,332.0,75.0,0.0,0.0
2024-05-06 10:00:00,75.0,0.0,0.0,333.0,0,333.0,75.0,0.0,0.0
2024-05-07 10:00:00,75.0,0.0,0.0,334.0,0,334.0,75.0,0.0,0.0
2024-05-08 10:00:00,75.0,0.0,0.0,335.0,0,335.0,75.0,0.0,0.0
2024-05-09 10:00:00,75.0,0.0,0.0,336.0,0,336.0,75.0,0.0,0.0
2024-05-10 10:00:00,75.0,0.0,0.0,337.0,0,337.0,75.0,0.0,0.0
2024-05-11 10:00:00,75.0,0.0,0.0,338.0,0,338.0,75.0,0.0,0.0
2024-05-12 10:00:00,75.0,0.0,0.0,339.0,0,339.0,75.0,0.0,0.0
2024-05-13 10:00:00,75.0,0.0,0.0,340.0,0,340.0,75.0,0.0,0.0
2024-05-14 10:00:00,75.0,0.0,0.0,341.0,0,341.0,75.0,0.0,0.0
2024-05-15 10:00:00,75.0,0.0,0.0,342.0,0,342.0,75.0,0.0,0.0
2024-05-16 10:00:00,75.0,0.0,0.0,343.0,0,343.0,75.0,0.0,0.0
